id,feedback,relevance,concreteness,constructive
1,,0,0,0
2,,0,0,0
3,,0,0,0
4,,0,0,0
5,,0,0,0
6,,0,0,0
7,,0,0,0
8,,0,0,0
9,,0,0,0
10,,0,0,0
11,,0,0,0
12,,0,0,0
13,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
14,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
15,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
16,,0,0,0
17,,0,0,0
18,,0,0,0
19,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
20,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
21,非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議,1,1,1
22,,0,0,0
23,,0,0,0
24,,0,0,0
25,有印出Hello World,1,1,0
26,有編譯成功,0,0,0
27,排版整齊,1,0,0
28,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,1,0
29,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,1,0
30,單單寫了一個main function但是main function內部是空的並未執行任何指令,1,1,0
31,有印出Hello World,1,1,0
32,有編譯成功,0,0,0
33,排版整齊,1,0,0
34,good,0,0,0
35,good,0,0,0
36,good,0,0,0
37,簡潔明瞭,0,0,0
38,,0,0,0
39,,0,0,0
40,good,0,0,0
41,good,0,0,0
42,good,0,0,0
43,有,0,0,0
44,有,0,0,0
45,整齊,1,0,0
46,Nice,0,0,0
47,Good,0,0,0
48,Perfect,0,0,0
49,有 達成要求,1,0,0
50,編譯成功沒問題,1,0,0
51,排版整齊 讚讚,1,0,0
52,good,0,0,0
53,good,0,0,0
54,good,0,0,0
55,可以改成Hello World,1,1,1
56,,0,0,0
57,,0,0,0
58,根本就沒寫,1,0,0
59,要記得寫作業,0,0,0
60,下次要寫作業好嗎,0,0,0
61,good,0,0,0
62,good,0,0,0
63,good,0,0,0
64,good,0,0,0
65,good,0,0,0
66,good,0,0,0
67,有,0,0,0
68,是,0,0,0
69,是,0,0,0
70,可以換行，比較容易檢查,1,0,1
71,,0,0,0
72,,0,0,0
