id,rrsId,rsmId,score,time,feedback,reviewScore,teacherReview
1,82,4,1,"2024-10-01 11:20:45",,-1,0
2,82,5,1,"2024-10-01 11:20:45",,-1,0
3,82,6,1,"2024-10-01 11:20:45",,-1,0
4,86,4,1,"2024-10-01 11:20:56",,-1,0
5,86,5,1,"2024-10-01 11:20:56",,-1,0
6,86,6,1,"2024-10-01 11:20:56",,-1,0
7,90,4,1,"2024-10-01 11:21:07",,-1,0
8,90,5,1,"2024-10-01 11:21:07",,-1,0
9,90,6,1,"2024-10-01 11:21:07",,-1,0
10,4,4,1,"2024-10-01 11:31:07",,-1,0
11,4,5,1,"2024-10-01 11:31:07",,-1,0
12,4,6,1,"2024-10-01 11:31:07",,-1,0
13,7,4,1,"2024-10-01 11:33:42","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
14,7,5,1,"2024-10-01 11:33:42","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
15,7,6,1,"2024-10-01 11:33:42","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
16,8,4,1,"2024-10-01 11:34:24",,-1,0
17,8,5,1,"2024-10-01 11:34:24",,-1,0
18,8,6,1,"2024-10-01 11:34:24",,-1,0
19,11,4,1,"2024-10-01 11:34:46","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
20,11,5,1,"2024-10-01 11:34:46","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
21,11,6,1,"2024-10-01 11:34:46","非常棒，單單輸出”HELLO WORLD“的作業無法給予任何建議",-1,0
22,12,4,1,"2024-10-01 11:35:15",,-1,0
23,12,5,1,"2024-10-01 11:35:15",,-1,0
24,12,6,1,"2024-10-01 11:35:15",,-1,0
25,151,4,1,"2024-10-01 11:35:33","有印出Hello World",-1,0
26,151,5,1,"2024-10-01 11:35:33",有編譯成功,-1,0
27,151,6,1,"2024-10-01 11:35:33",排版整齊,-1,0
28,15,4,2,"2024-10-01 11:36:09","單單寫了一個main function但是main function內部是空的並未執行任何指令",4,0
29,15,5,2,"2024-10-01 11:36:09","單單寫了一個main function但是main function內部是空的並未執行任何指令",4,0
30,15,6,2,"2024-10-01 11:36:09","單單寫了一個main function但是main function內部是空的並未執行任何指令",4,0
31,155,4,1,"2024-10-01 11:37:46","有印出Hello World",-1,0
32,155,5,1,"2024-10-01 11:37:46",有編譯成功,-1,0
33,155,6,1,"2024-10-01 11:37:46",排版整齊,-1,0
34,103,4,1,"2024-10-01 11:38:40",good,-1,0
35,103,5,1,"2024-10-01 11:38:40",good,-1,0
36,103,6,1,"2024-10-01 11:38:40",good,-1,0
37,52,4,1,"2024-10-01 11:38:44",簡潔明瞭,-1,0
38,52,5,1,"2024-10-01 11:38:44",,-1,0
39,52,6,1,"2024-10-01 11:38:44",,-1,0
40,107,4,1,"2024-10-01 11:39:38",good,-1,0
41,107,5,1,"2024-10-01 11:39:38",good,-1,0
42,107,6,1,"2024-10-01 11:39:38",good,-1,0
43,119,4,1,"2024-10-01 11:39:45",有,-1,0
44,119,5,1,"2024-10-01 11:39:45",有,-1,0
