homework,assignment_id,feedback,relevance,concreteness,constructive,relevance_confidence,concreteness_confidence,constructive_confidence
HW1,,是，很棒,0,0,0,0.00793317798525095,0.0025038907770067453,0.007163609378039837
HW1,,是 ，整齊，但tab不符合規範,1,0,0,0.9848617315292358,0.010286577045917511,0.028872830793261528
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,沒有輸入Java Doc,1,1,0,0.9892801642417908,0.9782343506813049,0.004330190364271402
HW1,,符合題目要求,1,0,0,0.9231591820716858,0.0040144226513803005,0.004298163112252951
HW1,,是 非常整齊,1,0,0,0.9447441101074219,0.00425000162795186,0.0062028029933571815
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,是,0,0,0,0.005085633601993322,0.0036140382289886475,0.007719187065958977
HW1,,註解符合Java Doc規範，也滿清楚的,1,1,0,0.9964488744735718,0.8035433888435364,0.005505941342562437
HW1,,是,0,0,0,0.005085633601993322,0.003614043351262808,0.007719194516539574
HW1,,是,0,0,0,0.005085633601993322,0.003614043351262808,0.007719194516539574
HW1,,是,0,0,0,0.005085633601993322,0.003614043351262808,0.007719194516539574
HW1,,是,0,0,0,0.005085633601993322,0.003614043351262808,0.007719194516539574
HW1,,是,0,0,0,0.005085648037493229,0.003614046610891819,0.007719168905168772
HW1,,沒有javadoc,1,1,0,0.9910741448402405,0.9454416632652283,0.003183866385370493
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,"System.out.println(""Hello World"");",1,1,0,0.9862836599349976,0.9918637275695801,0.0075572337955236435
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
HW1,,,0,0,0,0.0,0.0,0.0
